;;mm;C;%;mm/10cm;mm/10cm;mm/10cm;mm/10cm;mm/10cm
Date;Hour;Rain ;Temperature ;RH ;Water mm   (-10cm);Water mm   (-30cm);Water mm   (-50cm);Water mm   (-70cm);Water mm   (-90cm)
10/1/2019;00:30:00;0;25.55;89.7;-8.16;33.6;29.6;20.25;20.63
10/1/2019;01:00:00;0;25.06;92.7;-8.14;33.58;29.61;20.25;20.64
10/1/2019;01:30:00;0;24.9;91.8;-8.16;33.56;29.6;20.26;20.64
10/1/2019;02:00:00;0;24.36;94.8;-8.14;33.54;29.6;20.26;20.64
10/1/2019;02:30:00;0;23.93;95.3;-8.11;33.54;29.6;20.26;20.64
10/1/2019;03:00:00;0;23.71;96;-8.11;33.54;29.6;20.27;20.63
10/1/2019;03:30:00;0;23.66;96.5;-8.13;33.53;29.6;20.26;20.64
10/1/2019;04:00:00;0;23.45;96.7;-8.16;33.51;29.61;20.27;20.64
10/1/2019;04:30:00;0;23.64;96.8;-8.2;33.49;29.6;20.27;20.66
10/1/2019;05:00:00;0;23.42;97.7;-8.2;33.49;29.58;20.27;20.64
10/1/2019;05:30:00;0;23.35;97.5;-8.21;33.47;29.6;20.28;20.66
10/1/2019;06:00:00;0;23.26;97.8;-8.21;33.47;29.6;20.27;20.64
10/1/2019;06:30:00;0;23.21;98.1;-8.14;33.47;29.6;20.27;20.64
10/1/2019;07:00:00;0;23.35;99;-8.02;33.46;29.58;20.27;20.64
10/1/2019;07:30:00;0;23.38;98.5;-7.91;33.44;29.6;20.26;20.64
10/1/2019;08:00:00;0;23.35;99;-7.84;33.44;29.56;20.25;20.62
10/1/2019;08:30:00;0;23.66;99.2;-7.73;33.42;29.55;20.23;20.61
10/1/2019;09:00:00;0;23.69;98.9;-7.66;33.4;29.53;20.21;20.58
10/1/2019;09:30:00;0;23.57;98.7;-7.7;33.39;29.52;20.18;20.57
10/1/2019;10:00:00;0;23.18;98.8;-7.54;33.39;29.5;20.16;20.54
10/1/2019;10:30:00;0;22.9;99;-7.55;33.39;29.47;20.13;20.51
10/1/2019;11:00:00;0;22.82;99;-7.46;33.35;29.45;20.1;20.49
10/1/2019;11:30:00;0;22.66;99.2;-7.52;33.35;29.42;20.09;20.47
10/1/2019;12:00:00;0;22.92;99.3;-7.43;33.33;29.39;20.04;20.45
10/1/2019;12:30:00;0;23.28;99.3;-7.41;33.33;29.37;20.01;20.42
10/1/2019;13:00:00;0;24.39;99.1;-7.54;33.3;29.35;19.98;20.41
10/1/2019;13:30:00;0;25.53;96.7;-7.77;33.28;29.34;19.98;20.42
10/1/2019;14:00:00;0;26.06;95.2;-7.86;33.26;29.32;19.96;20.43
10/1/2019;14:30:00;0;26.94;92.9;-7.82;33.28;29.32;19.98;20.43
10/1/2019;15:00:00;0;29.41;88.4;-7.88;33.26;29.32;19.98;20.45
10/1/2019;15:30:00;0;27.85;89.9;-7.86;33.25;29.31;19.98;20.46
10/1/2019;16:00:00;0;29.87;84;-7.86;33.23;29.31;19.96;20.46
10/1/2019;16:30:00;0;29.44;83.3;-7.89;33.23;29.32;19.98;20.47
10/1/2019;17:00:00;0;30.75;77.8;-7.91;33.21;29.31;19.99;20.49
10/1/2019;17:30:00;0;29.66;78.1;-7.95;33.19;29.31;19.98;20.49
10/1/2019;18:00:00;0;30.32;82.1;-7.84;33.26;29.32;20;20.5
10/1/2019;18:30:00;0;30.12;79.5;-7.86;33.74;29.34;20;20.5
10/1/2019;19:00:00;0;29.02;81.4;-7.98;34.4;29.34;20.01;20.49
10/1/2019;19:30:00;0;27.01;86;-8.04;34.93;29.35;20.01;20.49
10/1/2019;20:00:00;0.2;26.43;92.2;-8.04;35.09;29.37;20.01;20.51
10/1/2019;20:30:00;0;26.84;90.2;-8.04;35.11;29.37;20.02;20.5
10/1/2019;21:00:00;0;26.43;92.8;-8.02;35.09;29.39;20.02;20.51
10/1/2019;21:30:00;0;26.43;93.2;-8.04;35.09;29.39;20.02;20.53
10/1/2019;22:00:00;0;26.26;94.1;-8.05;35.05;29.39;20.02;20.53
10/1/2019;22:30:00;0;26.23;94.1;-8.04;35.05;29.4;20.02;20.54
10/1/2019;23:00:00;0;25.74;94.9;-8.05;35.04;29.42;20.02;20.54
10/1/2019;23:30:00;0;25.23;95.1;-8.05;35.02;29.44;20.02;20.54
